pws_id,entry_id,name,status,type_code
CA0400169,0,ONLY WELL,A,WL
CA0405001,0,LIME SADDLE TREATMENT PLANT - RAW,A,IN
CA0405001,1,WELL 01,A,WL
CA0405001,2,WELL 03,A,WL
CA0405001,3,WELL 02 - INACTIVE XCLD,I,WL
CA0405001,4,WELL 04 - INACTIVE XCLD,I,WL
CA0405001,5,WELL 05 - INACTIVE XLCD,I,WL
CA0405002,0,WELL 01,A,WL
CA0405003,0,WELL 01,A,WL
CA0409175,0,WELL,A,WL
CA0409177,0,NORTH,A,WL
CA0409177,1,SOUTH,A,WL
CA0409179,0,WELL,A,WL
CA0409181,0,MAIN WELL,A,WL
CA0409182,0,WELL,A,WL
CA0409183,0,NORTH WELL,A,WL
CA0409183,1,SOUTH WELL,A,WL
CA0409184,0,ONLY WELL,A,WL
CA0409187,0,WELL,A,WL
CA0409188,0,WELL,A,WL
CA0409189,0,WELL,A,WL
CA0409190,0,WELL,A,WL
CA0409192,0,WELL,A,WL
CA0409193,0,WELL #1,A,WL
CA0409194,0,WELL,A,WL
CA0409195,0,WELL 01,A,WL
CA0409196,0,WELL-01,A,WL
CA0409197,0,WELL,A,WL
CA0410001,0,WELL 01 (BERTHA),A,WL
CA0410001,1,WELL 03 - HENRY,A,WL
CA0410001,2,WILLARD WELL REPLACEMENT - STANDBY,A,WL
CA0410001,3,2ND STREET WELL - DESTROYED XCLD,I,WL
CA0410001,4,WILLARD WELL 02 - DESTROYED XCLD,I,WL
CA0410002,0,S1 EXTRACTION WELL (CMW101B - HIGH PCE),A,WL
CA0410002,1,S2 EXTRACTION WELL (CMW117B - HIGH PCE),A,WL
CA0410002,2,S3 EXTRACTION WELL (CH-W-S-03 -- PCE),A,WL
CA0410002,3,S4 EXTRACTION WELL (CH-W-S-04 -- PCE),A,WL
CA0410002,4,WELL 05-02,A,WL
CA0410002,5,WELL 08-01,A,WL
CA0410002,6,WELL 11-01,A,WL
CA0410002,7,WELL 12-01,A,WL
CA0410002,8,WELL 14-01,A,WL
CA0410002,9,WELL 16-01,A,WL
CA0410002,10,WELL 17-01,A,WL
CA0410002,11,WELL 18-01,A,WL
CA0410002,12,WELL 19-01,A,WL
CA0410002,13,WELL 20-01,A,WL
CA0410002,14,WELL 21-01,A,WL
CA0410002,15,WELL 23-01,A,WL
CA0410002,16,WELL 24-01 - STANDBY,A,WL
CA0410002,17,WELL 26-01,A,WL
CA0410002,18,WELL 27-01,A,WL
CA0410002,19,WELL 28-01,A,WL
CA0410002,20,WELL 29-01,A,WL
CA0410002,21,WELL 30-01,A,WL
CA0410002,22,WELL 31-01,A,WL
CA0410002,23,WELL 32-01,A,WL
CA0410002,24,WELL 33-01,A,WL
CA0410002,25,WELL 34-01,A,WL
CA0410002,26,WELL 35-01,A,WL
CA0410002,27,WELL 37-01,A,WL
